name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Sohail Ahmed,7501265,Pakistan,1991-03-15,Right-hand bat,Right-arm fast,43191
Babar Ali,11510946,Cyprus,1996-12-04,Right-hand bat,Right-arm medium,123791
Azhar Bashir,11510945,Cyprus,1990-11-28,Right-hand bat,Right-arm slow,123788
Shakeel Khan,11510949,Cyprus,1989-03-04,Right-hand bat,Right-arm slow,123808
Abbas Naeem,11510941,Cyprus,1990-08-12,Right-hand bat,Right-arm slow,123776
MD Rocky,11510948,Cyprus,1988-01-01,Right-hand bat,Right-arm fast,123798
Angrej Singh,11510944,Cyprus,2000-11-03,Right-hand bat,Right-arm slow,127385
Balram Singh,11510947,Cyprus,1997-12-20,Right-hand bat,Right-arm slow,123794
Munenyasha Mandidzora,11531893,Nigeria,2009-11-24,Left-hand bat,Slow left-arm orthodox,651214
Amogh Paranjpe,11507878,New Zealand,2006-03-25,Right-hand bat,Right-arm medium,1412768
Nazrul Islam,801959,Bangladesh,1991-11-23,Right-hand bat,Right-arm medium,129371895
Shah Khalid,2500089,Cyprus,1994-02-02,Right-hand bat,Right-arm medium,210199
Faridoon Khan,11511085,Afghanistan,2002-04-03,Right-hand bat,,1182526
Affan Bashir,11529170,Pakistan,2002-03-21,Right-hand bat,Right-arm offbreak,5795419
Rahman Zurmatai,11511097,Afghanistan,1993-07-06,Right-hand bat,Right-arm slow,196081
Javed Hazzard,11202112,West Indies,1993-12-09,Right-hand bat,,452170
Lindon Mason,11202834,West Indies,1987-11-17,Right-hand bat,Right-arm offbreak,92991
Denzel Matthew,11500549,West Indies,1994-02-17,Right-hand bat,Slow left-arm orthodox,106162
Shakim Charles,11202572,West Indies,1997-09-28,Right-hand bat,Right-arm offbreak,106163
Faizan Shafi,11511160,Pakistan,1998-11-16,Right-hand bat,Right-arm medium,123809
Jeron Noel,11202060,West Indies,1999-11-02,Right-hand bat,Right-arm offbreak,929529
Asif Mehmood,2500164,Cyprus,1984-04-27,Right-hand bat,Right-arm medium,1444310
Rasab Sher,2500156,Cyprus,1994-11-24,Right-hand bat,Right-arm slow,144420
Naomi Mhlekwa,11531894,Nigeria,2008-07-09,Left-hand bat,Slow left-arm orthodox,4987082
Ronak Patel,11401083,Zimbabwe,2006-04-15,Right-hand bat,Right-arm offbreak,1360289
Ish Sodhi,7101314,New Zealand,1992-10-31,Right-hand bat,Legbreak,559066
Mubeen Tariq,8000053,Portugal,1994-06-16,Right-hand bat,Right-arm slow,81236
Annerie Dercksen,9205395,South Africa,2001-04-26,Right-hand bat,Right-arm medium,1163087
Leah Jones,9206238,South Africa,2002-03-07,Right-hand bat,Right-arm medium,1167624
Anwar Hossain,11511161,Bangladesh,1987-09-20,Right-hand bat,Right-arm medium,104892
Shahzad Ahmed,7503938,Pakistan,1991-01-01,Right-hand bat,Left-arm fast-medium,43113
Ben Dyson,11507994,Cyprus,1986-02-13,Right-hand bat,Right-arm medium,129374746
Prince Balwant Rai,4501672,India,1999-05-05,Right-hand bat,Legbreak googly,1210280
Gandhi Jafta,9202312,South Africa,1990-02-01,Right-hand bat,Right-arm medium,1167631
Mozzam Hayat,11529452,Pakistan,1992-08-15,Left-hand bat,Left-arm medium,500410
Adarsh Singh,11529487,India,2000-02-12,,,5395290
Priyanshu Srivastava,11511423,India,2000-06-13,Right-hand bat,Right-arm offbreak,390584
Morana Modric,11511329,Croatia,1980-09-10,Right-hand bat,Right-arm medium,519998
Zain Butt,11509394,United Arab Emirates,1989-07-06,Right-hand bat,,3215642
Deepak Dangi,11511124,India,1993-06-07,Right-hand bat,,585468
Emal Shaheen,101596,Afghanistan,2003-03-10,Right-hand bat,Right-arm offbreak,68037
Mayank Chowdary,10603764,United Arab Emirates,1997-05-02,Right-hand bat,Right-arm fast,1268660
Nicolette Nyika,11531895,Nigeria,2010-04-12,Right-hand bat,Right-arm offbreak,5978331
Faheem Khan,11532120,Portugal,1991-11-10,Right-hand bat,Right-arm slow,950457
Ashish Sharma,10604105,United Arab Emirates,1989-03-02,Right-hand bat,,902689
Junaid Siddique,10601196,United Arab Emirates,1992-12-06,Right-hand bat,Right-arm medium-fast,1203754
Iftekar Jaman,2500050,Cyprus,1992-01-07,Right-hand bat,Right-arm medium-fast,1281561
Sikandar Ejaz,2500229,Cyprus,1996-06-22,Right-hand bat,Left-arm medium,185098
Muhammad Yeamin,802145,Bangladesh,1998-03-26,Right-hand bat,Right-arm fast,104932
Ruvarashe Mpofu,11531896,Nigeria,2009-02-01,Right-hand bat,Right-arm medium,5408465
Happy Saini,11532121,Portugal,1998-07-18,Right-hand bat,Right-arm fast,5754946
Muhammad Shahdad,11501290,United Arab Emirates,2000-12-09,Right-hand bat,Right-arm offbreak,129372405
Dhruv Parashar,11507654,United Arab Emirates,2004-12-20,Right-hand bat,Right-arm offbreak,1294144
Qamar Shams,11511086,Afghanistan,2004-12-23,Left-hand bat,Slow left-arm orthodox,137111
Eknath Kerkar,4508680,India,1993-09-10,Right-hand bat,,706341
Rakib Hasan,11511162,Bangladesh,2002-02-04,Right-hand bat,Right-arm medium,118058
Muhammad Huzaifa,11529173,Pakistan,2009-03-15,Left-hand bat,Left-arm slow,6567877
Simranjeet Gharu,11502863,India,2002-01-03,Right-hand bat,,100260
Suzana Filipi,11511331,Croatia,1992-11-15,Right-hand bat,Right-arm fast-medium,154815
Khalid Niazi,7500661,Pakistan,2005-07-09,Right-hand bat,Right-arm slow,41173
Sharmaine Manyukwi,11531897,Nigeria,2011-06-26,Right-hand bat,Right-arm medium,9614919
Farzana Farooq,11532077,Pakistan,2001-03-16,Right-hand bat,,687457
Jai Parkash,11508600,Portugal,1984-12-30,Right-hand bat,Right-arm medium,87505
Hari Prasanth,4500765,India,1991-06-30,Right-hand bat,,32617
Tanroop Saini,11502905,India,2000-09-03,Left-hand bat,,8632120
Danielle Manns,11529174,West Indies,2008-08-01,Right-hand bat,Right-arm offbreak,482570
Sayeed Shuvo,11511163,Bangladesh,1997-02-01,Right-hand bat,Right-arm offbreak,124061
Umer Aziz,11510977,Cyprus,1993-05-01,Right-hand bat,Right-arm fast,123832
Sahitya Hazra,11511426,India,2002-05-18,Right-hand bat,Right-arm medium,350009
Valentina Romani,11511332,Croatia,1992-09-11,Right-hand bat,Right-arm medium-fast,943931
Shahnawaz Khan,10603457,United Arab Emirates,1992-08-26,Right-hand bat,Right-arm offbreak,21000176
Rahul Soni,10603871,United Arab Emirates,1991-05-05,Right-hand bat,,89368
Anindra Nath Roy,11529490,India,2002-07-29,,,1309550
Ashwanth Valthapa,10604056,United Arab Emirates,2001-06-16,Left-hand bat,Right-arm offbreak,71931
Muhammad Naeem,7506028,Pakistan,1998-03-21,Right-hand bat,,375310
Noorullah Ayobi,11503566,Afghanistan,2005-12-25,Right-hand bat,Right-arm medium-fast,1389282
Ahsan Raza,7502911,Pakistan,1974-05-29,Right-hand bat,,39146
Mohit Raghav,10603877,United Arab Emirates,1987-12-12,Right-hand bat,Right-arm fast,94825
Tadiwa Garutsa,11531898,Nigeria,2010-02-09,Right-hand bat,Right-arm offbreak,9159160
Sarish Desai,11509195,India,2003-04-14,Right-hand bat,Right-arm offbreak,3621523
Haniah Ahmer,11203365,Pakistan,2006-12-07,Right-hand bat,Right-arm medium-fast,1293087
Mandeep Saini,11205391,India,1994-10-23,Right-hand bat,Right-arm medium,129371891
Hridoy Hossain,11511164,Bangladesh,1997-08-13,Right-hand bat,Right-arm offbreak,104891
Varun Kumar,11510978,Cyprus,1998-08-07,Right-hand bat,Right-arm medium,123833
Latoya Williams,11529175,West Indies,2006-12-16,,,5498326
Manibalan M,11501098,India,2005-03-26,,,2653104
Jay Vishaakh V,11501108,India,2002-09-11,,,2653111
Leela Chandrasekhar,11501109,India,2000-10-22,,,2653112
Tawananyasha Zvomarima,11531899,Nigeria,2009-12-06,Left-hand bat,Slow left-arm orthodox,2151586
Harshad Halpatrao,11509200,India,1997-10-20,Right-hand bat,Right-arm medium-fast,3621529
Sangram Bhalekar,11511127,India,1999-08-30,Right-hand bat,,163974
Javeria Siddique,11532078,Pakistan,2005-01-01,Right-hand bat,Right-arm offbreak,2917812
Salvinder Singh,11532122,Portugal,1990-05-24,Right-hand bat,Right-arm slow,9880724
Sunil Bishnoi,11501112,India,2001-10-26,Right-hand bat,,2653115
AM Ghazanfar,101665,Afghanistan,2006-03-20,Right-hand bat,Right-arm offbreak,1326798
Farmanullah,100103,Afghanistan,2001-03-14,Right-hand bat,Right-arm medium-fast,976429
Faisal Altaf,7505647,Pakistan,2001-03-15,Right-hand bat,Right arm medium,1241255
Harry Sixton,11529196,New Zealand,2006-06-15,Right-hand bat,Right-arm fast,7846487
Ajith Jayalath,11511165,Sri Lanka,1975-09-04,Right-hand bat,Right-arm offbreak,78297
Naman Sharma,4504075,India,1986-12-11,Right-hand bat,Legbreak,31880
Waseem Abbas,2500150,Cyprus,1995-01-02,Right-hand bat,Right-arm offbreak,1444040
Sunny Kumar Singh,11529492,India,1998-09-07,,,551343
Ammar Badami,10603365,United Arab Emirates,2004-12-07,Right-hand bat,Right-arm medium,1290289
Ashish Bhardwaj,11511258,India,2006-04-30,Right-hand bat,Right-arm medium,998192
Ankush Sur,11505468,India,2006-01-21,Right-hand bat,,101246
Ehsan Mukhtar,11511220,United Arab Emirates,1998-06-15,Right-hand bat,Left-arm medium-fast,170702
Ravi Bhargav,11501104,India,1999-12-25,,,2653108
Santosh Shinde,11501110,India,1996-09-18,Right-hand bat,Right-arm medium,2653113
Rajakavi Rajagopal,11204143,India,1988-09-20,Right-hand bat,Right-arm offbreak,409765
Shad Ali,11532123,Portugal,2004-02-23,Right-hand bat,Right-arm medium,5457429
Zubair Khan Lodhi,7505990,Pakistan,1996-06-20,Right-hand bat,Right-arm medium,1233545
David Payne,3005122,England,1991-02-15,Right-hand bat,Left-arm fast-medium,362710
Maham Anees,11203378,Pakistan,2006-08-01,Right-hand bat,Right-arm offbreak,1293096
Saima Malik,11532079,Pakistan,1999-07-05,Right-hand bat,Left-arm medium-fast,3074733
Vikash Sikhri,11205390,India,1998-02-01,Right-hand bat,Right-arm medium,129371886
Amol Tanpure,11508352,India,1994-06-01,Right-hand bat,Right-arm fast,129374876
Diamond Pervaiz,11532053,Portugal,1990-04-16,Right-hand bat,Right-arm medium,4081512
Shubhankar Hardikar,11501953,India,2000-06-18,Right-hand bat,,129372729
Muhammad Tabish,11509112,Pakistan,1996-08-11,Right-hand bat,Right-arm medium,8956270
Saiqa Riaz,11532080,Pakistan,1998-02-28,Right-hand bat,,1414950
Gurjit Singh,8000071,Portugal,1997-02-14,Right-hand bat,Right-arm medium,9127569
Simranjeet Singh,2400058,Croatia,1996-11-30,Right-hand bat,Right-arm medium,98770
Thanrada Seesawan,11529179,Thailand,2010-03-02,Right-hand bat,Right-arm medium,5339520
Anirudh Srinivasan,11511716,Czechia,1999-03-06,Right-hand bat,,124402
Anusha Hewage,11511484,Cyprus,1983-12-15,Right-hand bat,Right-arm offbreak,250486
Kamesh Nirmal,9503432,Sri Lanka,2000-02-14,Right-hand bat,,1210089
Anurag Choudhary,11500200,India,1981-01-01,Right-hand bat,Right-arm offbreak,96051
Tayyba Imdad,11532081,Pakistan,2006-04-30,Right-hand bat,Right-arm offbreak,520632
Hemant Buchade,11205121,India,1993-06-02,Left-hand bat,Slow left-arm orthodox,99771
Mohammad Nabi,100558,Afghanistan,1985-01-01,Right-hand bat,Right-arm offbreak,25913
Aliza Sabir,11532082,Pakistan,2005-08-02,Right-hand bat,Right-arm medium-fast,8760001
Darwish Rasooli,100087,Afghanistan,1999-12-12,Right-hand bat,Right-arm offbreak,819441
Hrishikesh Gore,11508372,India,2005-10-18,Right-hand bat,Right-arm fast,129374889
Imtiaz Rana,801955,Bangladesh,1988-11-20,Right-hand bat,Right-arm medium,129371890
Pandiyan Kalaiyamudhan,11511430,India,2004-10-22,Left-hand bat,Slow left-arm orthodox,135772
Christopher Lamont,11200555,West Indies,1988-01-06,Left-hand bat,Slow left-arm orthodox,1129522
Yash Kshirsagar,4508007,India,1998-12-17,Right-hand bat,Right-arm offbreak,1212687
Dua Majid,11532083,Pakistan,1999-07-21,Right-hand bat,Right-arm offbreak,4032293
Harjas Tandon,11502855,India,2003-02-06,Right-hand bat,,129373046
Mizan Sayyed,11531958,India,1998-04-09,,,7090466
Fatima Zahra,11532084,Pakistan,2002-06-28,Right-hand bat,Right-arm offbreak,757281
Shaun Rodrigues,11205057,India,2002-02-20,Right-hand bat,Legbreak,185047
Bhupinder Singh,4505810,India,1998-01-10,Right-hand bat,Right-arm medium,27499
Nadun Manamekala,9500775,Sri Lanka,1994-11-30,Right-hand bat,Right-arm medium-fast,683369
Sadeesh Jayawardena,9505739,Sri Lanka,2003-09-24,Right-hand bat,,1282468
Ashley Barnard,11531906,South Africa,2009-07-02,Right-hand bat,Right-arm offbreak,5062636
Manahil Rafiq,11532085,Pakistan,2006-03-08,Left-hand bat,,3094078
Shreeraj Gharat,11532184,India,2000-09-12,Left-hand bat,,1377679361
Jawad Shah,2500231,Cyprus,1999-03-20,Right-hand bat,Right-arm fast,80551
Amandeep Khokar,11532126,Portugal,1987-10-15,Right-hand bat,Right-arm medium,4567959
Shams Karokhel,11511100,Afghanistan,1999-11-25,Right-hand bat,Right-arm offbreak,935535
Kavindu Nadeeshan,9504871,Sri Lanka,2001-08-31,Right-hand bat,Legbreak,1186659
Bruzaan Goosen,11531907,South Africa,2011-10-09,Right-hand bat,Right-arm medium,9751883
Amey Thokal,11531959,India,2005-09-28,,,8661544
Rabia Rani,11532086,Pakistan,1998-06-15,Left-hand bat,Right-arm offbreak,6144321
Rahul Vishwakarma,6800213,Nepal,1992-10-19,Left-hand bat,Slow left-arm orthodox,307711
Usman Ali,10600789,United Arab Emirates,1994-06-03,Right-hand bat,Right-arm offbreak,1106619
Asijit Ghosh,900110,Belgium,2001-02-19,Right-hand bat,Right-arm slow,1292601
Gurdip Sharma,11510982,Cyprus,1993-05-08,Right-hand bat,Right-arm medium,78153
Thamas Ram Kumar,11512016,India,2006-10-08,Right-hand bat,Right-arm offbreak,2124836
Stella Cornelius,11529204,New Zealand,2007-01-18,Right-hand bat,Left-arm medium,103041
Cayleigh Wanckel,11531908,South Africa,2009-12-01,Right-hand bat,Right-arm offbreak,5955032
Umm-e-Hani,11203431,Pakistan,1996-08-12,Right-hand bat,Right-arm offbreak,1341174
Shamsher Singh,11532127,Portugal,1988-08-28,Right-hand bat,Left-arm slow,9807107
Chanaka Fernando,11512061,Sri Lanka,1989-02-12,Right-hand bat,Right-arm medium,124909
Kananelo Mokoena,11531909,South Africa,2009-01-21,Right-hand bat,,5151305
Mahesh Deore,11531960,India,2001-05-02,,,2259063
Umer Waheed,11532128,Portugal,1998-10-17,Right-hand bat,Right-arm medium,2580055
Wahidullah Zadran,11506892,Afghanistan,2007-11-15,Right-hand bat,Right-arm offbreak,1162343
Sreeraj J R,4510973,India,1991-09-03,Right-hand bat,Right-arm medium-fast,83544
Amritpal Singh Jr,11509301,Portugal,1998-01-12,Right-hand bat,Left-arm medium,121982
Kunal Thorat,11502016,India,1996-10-30,,Slow left-arm orthodox,13791566
Gouthamraj Allam,11511724,Czechia,1995-08-21,Right-hand bat,Right-arm fast,124405
Prasanth Kumar,4506975,India,1991-12-13,Right-hand bat,Legbreak googly,481046
Divyang Hinganekar,11502013,India,1993-10-14,Right-hand bat,Left-arm medium,13791561
Zohaib Akhtar,10604376,United Arab Emirates,1989-01-15,Right-hand bat,,129372022
Shazad Naseer,11511228,United Arab Emirates,2000-04-04,,,170540
Rishabh Ranade,11531961,India,2002-11-17,,,3609524
Sandeep Singh,4510044,India,1981-09-26,Right-hand bat,,341161
Aqsa Bibi,11532088,Pakistan,2005-10-01,Right-hand bat,Right-arm offbreak,8425903
Yogesh Patil,11204993,India,1989-06-01,Right-hand bat,Right-arm medium,103298
Ronak Patel,4509944,India,1984-03-30,Right-hand bat,Right-arm medium,32250
Shani Patel,11508973,India,1994-10-17,Right-hand bat,Right-arm medium,14108625
Rethabile Nthoba,11531910,South Africa,2011-03-05,Right-hand bat,,140300
Usman Ishak,9502820,Sri Lanka,1994-07-03,Left-hand bat,Right-arm medium-fast,961705
Akeil Cooper,11512077,West Indies,1990-11-26,Right-hand bat,Right-arm medium,180139
Ishaq Saqi,100854,Afghanistan,1999-01-03,Right-hand bat,Right-arm medium,1196083
Julie Susan McNally,11511754,Ireland,2007-07-18,Right-hand bat,Right-arm medium-fast,128468
Devind Pathmanathan,9500274,Sri Lanka,1995-02-17,Right-hand bat,Slow left-arm orthodox,623697
Gabriel Soare,11511782,Romania,2009-12-14,Right-hand bat,Right-arm medium,124768
Enoch Toussaint,11511174,West Indies,2005-01-10,,,171265
V Prajan Kumar,11511436,India,2007-01-09,Right-hand bat,Right-arm offbreak,171660
Dale Steyn,9205645,South Africa,1983-06-27,Right-hand bat,Right-arm fast,47492
Parth Mahajan,11531962,India,2005-08-05,,,4430355
